# {"t_start": 1687017264.059135, "env_id": "Ant-v2"} 
r,l,t
-60.37091,22,118.195465
-155.40132,70,119.33997
-30.834876,14,119.354314
-101.468666,61,119.407991
-38.063579,12,119.419722
-61.387578,25,119.442348
-111.527676,33,119.472338
-104.100148,34,119.503472
-200.045412,75,119.570385
-43.166604,22,119.590056
-134.09407,40,119.624651
-145.048389,48,119.668149
-2594.247517,1000,120.570185
-147.690797,53,120.618476
-133.672798,51,120.664586
-97.635628,23,120.686061
-2400.507563,1000,121.58939
-98.875297,36,121.622779
-62.014307,24,121.644173
-86.97092,30,121.670952
-171.000304,51,121.716651
-53.676899,24,121.739067
-302.511774,119,121.845014
-98.675708,28,121.869573
-36.391793,14,121.88277
-28.661024,13,121.895201
-547.979961,227,122.103983
-319.816869,139,122.255157
-2451.595299,1000,123.385329
-42.325287,25,123.414341
-11.343352,19,123.435065
